empresa,associado
156744,156754
156744,156755
156690,156692
156690,156695
156690,156696
156690,156701
156701,156702
156701,156703
156701,156704
156701,156705
156701,156706
156690,156707
156707,156712
156707,156708
156707,156710
156707,156711
156707,156713
156690,156721
156721,156722
156721,156723
156721,156724
156721,156725
156690,156726
156726,156728
156726,156729
156726,156730
156726,156727
156726,156731
156690,156714
156714,156715
156714,156716
156714,156717
156714,156718
156714,156719
156714,156720
156690,156697
156690,156698
156690,156699
156690,156700
156690,156756
COPR,156983
156983,156984
156983,157026
157026,157027
157026,157028
157026,157029
157026,157030
157026,157031
157026,157032
157026,157035
157026,157033
157026,157034
157026,157036
156983,156987
156983,156986
156983,157037
157037,157038
157037,157039
157037,157040
157037,157041
157037,157042
157037,157043
157037,157044
157037,157045
157037,157046
157037,157047
157037,157048
156983,156985
156983,156988
156983,156989
156983,156994
156994,156996
156994,156997
156994,156998
156994,156999
156994,157000
156983,157001
157001,157002
157001,157003
157001,157004
157001,157005
157001,157006
156983,157014
157014,157015
157014,157016
157014,157017
157014,157018
156983,157019
157019,157021
157019,157023
157019,157024
157019,157020
157019,157025
156983,157007
157007,157008
157007,157009
157007,157010
157007,157011
157007,157012
157007,157013
156983,156990
156983,156991
156983,156992
156983,156993
156983,157050
COPR,157280
157280,157281
157280,157282
157280,157283
157280,157284
157280,157285
157280,157286
COPR,157125
157125,157130
157130,157131
157130,157132
157130,157133
157130,157135
157130,157136
157125,157128
157125,157129
157125,157137
157137,157138
157137,157139
157137,157140
157137,157141
157125,157126
157125,157127
157125,157142
COPR,157051
157051,157052
157052,157053
157052,157054
157052,157055
157052,157056
157051,157057
157057,157058
157057,157059
157057,157060
157057,157061
157051,157062
COPR,157173
157173,157201
157201,157202
157201,157203
157201,157204
157201,157205
157201,157206
157173,157174
157173,157175
157173,157178
157173,157182
157173,157184
157173,157183
157173,157221
157221,157224
157221,157222
157221,157223
157221,157225
157173,157185
157173,157186
157173,157187
157173,157188
157173,157189
157173,157190
157173,157176
157173,157177
157173,157197
157173,157179
157173,157207
157207,157208
157207,157209
157207,157210
157173,157211
157211,157212
157211,157213
157211,157214
157173,157215
157215,157216
157215,157217
157215,157220
157173,157195
157173,157196
157173,157192
157173,157193
157173,157194
157173,157180
157173,157181
157173,157198
157173,157199
157173,157200
157173,157226
157173,157227
COPR,156542
156542,156549
156542,156644
156644,156645
156644,156646
156644,156647
156644,156648
156644,156649
156644,156650
156644,156653
156644,156651
156644,156652
156644,156655
156542,156573
156542,156566
156542,156656
156656,156657
156656,156658
156656,156659
156656,156660
156656,156661
156656,156662
156656,156663
156656,156664
156656,156665
156656,156666
156656,156667
156542,156582
156542,156592
156542,156558
156542,156613
156613,156614
156613,156615
156613,156616
156613,156617
156613,156618
156542,156619
156619,156620
156619,156621
156619,156622
156619,156623
156619,156624
156542,156633
156633,156634
156633,156635
156633,156636
156633,156637
156542,156638
156638,156640
156638,156641
156638,156642
156638,156639
156638,156643
156542,156625
156625,156626
156625,156628
156625,156629
156625,156630
156625,156631
156625,156632
156542,156601
156542,156609
156542,156611
156542,156612
156542,156668
COPR,157309
157309,157332
157332,157333
157332,157337
157332,157352
157332,157334
157332,157335
157332,157336
157332,157338
157332,157339
157332,157340
157332,157346
157332,157347
157332,157341
157332,157342
157332,157343
157332,157345
157332,157353
157332,157349
157332,157350
157332,157351
157332,157354
157332,157348
157332,157355
157309,157310
157309,157315
157309,157329
157309,157311
157309,157312
157309,157314
157309,157316
157309,157317
157309,157318
157309,157323
157309,157324
157309,157319
157309,157320
157309,157321
157309,157322
157309,157330
157309,157326
157309,157327
157309,157328
157309,157325
157309,157331
157309,157356
COPR,156589
156589,156590
156589,156591
156589,156593
COPR,157063
157063,157070
157063,157102
157063,157068
157063,157069
157063,157064
157063,157086
157063,157087
157063,157090
157063,157088
157063,157089
157063,157092
157063,157066
157063,157067
157063,157071
157063,157072
157063,157073
157063,157103
157063,157076
157063,157078
157063,157079
157063,157080
157063,157083
157063,157084
157063,157085
157063,157104
157063,157075
