Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
482,496,Stefanini Consult. e Assess.,SP,Tecnologia da Informação,677.1,14.2,BR,34,-29.5,5,100.4,50,1.9,0,53.7,-27.7,138.9,33.8,5.2,310.8,15.3,1.88,0.1291
483,488,Multiplan,RJ,Construção e Engenharia,676.3,11.9,BR,298.2,36.5,44.1,9.3,388.7,31.6,-10.7,453.1,28.1,4751.6,3216.4,868.6,47.7,27,2.1,1.0316
484,530,Assoc. das Pioneiras Sociais,DF,Serviços Médicos,676.2,20.6,BR,47.4,256.2,7,6.9,23,22.7,0,55.9,449.2,772.9,691.2,0,11.8,0,3.41,1.1237
485,0,Qualicorp,SP,Serviços Especializados,676.1,0,BR,-33.7,0,-5,-1.7,11.3,-11.9,0,141.1,0,2855.3,1938.1,379.3,47.3,19.6,1.63,0
486,485,Sodexo Pass,SP,Serviços Especializados,675,11.3,FR,224.9,17.1,33.3,20.4,328.7,17.8,0,339.3,18.6,2898.9,1104.5,0,162.5,0,1.05,0.9983
487,609,Fidelity Processadora,SP,Tecnologia da Informação,674.9,43.4,BR,39.5,933.9,5.9,7.8,66.4,-6.7,0,110.2,198.8,631.8,503.4,0,25.5,0,1.31,1.3216
488,0,Esho,RJ,Serviços Médicos,674,173.6,BR,82,1191.6,12.2,16.8,49.4,-15.7,0,103.5,328,911.5,489.2,36.2,86.3,7.4,0.69,1.2348
489,562,Cocari,PR,Agropecuária,672.5,30.3,BR,7.2,-27,1.1,3.2,14.7,-6.2,0,25.5,12.2,759.8,224.8,301.6,237.9,134.2,1.2,1.2725
490,404,Unidas,SP,Serviços Especializados,670.9,-12.8,PT,-64.6,48.8,-9.6,-12.1,48.6,-109.4,0,158.2,9.8,1214.8,534.1,612,127.5,114.6,4.53,ND
491,551,Pastifício Selmi,SP,Alimentos,669.1,26,BR,19,525.3,2.8,14.7,42.1,-16.2,0,54.2,45,361.8,129.4,142.6,179.6,110.2,1.17,ND
