Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
556,**,Lupatech,RS,Mecânica,574,11.4,BR,-241.9,-230.7,-42.1,ND,-13.1,-198.8,-10.5,22.8,-59.9,1503.2,-43.7,1284.4,ND,ND,0.57,ND
557,701,U&M Mineração e Constr.,RJ,Construção e Engenharia,572.8,44.3,BR,40.3,1121.6,7,27.7,62.4,-14.9,0,114,55,486.3,145.6,195.6,234.1,134.4,1.12,1.2538
558,550,Hospital Conceição,RS,Serviços Médicos,571.9,7.6,BR,-257.3,-17.7,-45,ND,-212.6,-46.1,0,-195.5,-15.7,214.4,-948.2,0,ND,ND,0.05,ND
559,0,BMC,ES,Comércio Varejista,569.7,17.1,BR,22.4,-2.9,3.9,44.8,47.9,-16.2,0,48.8,-1.9,224.2,50,31.3,348.5,62.6,1.33,0.6571
560,570,Concremat,RJ,Construção e Engenharia,569.5,12.2,BR,29.5,52.2,5.2,19.1,24.5,-0.4,0,32.4,3.6,275.3,154.1,14.7,78.7,9.5,1.67,0.9618
561,640,Queiroz Galvão Des. Imob.,PE,Construção e Engenharia,569,30,BR,42.1,15,7.4,10.9,71.9,-12.5,0,74.5,17,1632.7,384.1,949.6,325.1,247.2,2.93,1.0536
562,517,Sinoscar,RS,Comércio Varejista,567,-1,BR,6.5,-27.8,1.1,10.5,-0.2,-2.5,0.4,13.6,-14.1,111.1,61.7,2.2,80.1,3.6,1.49,ND
563,0,Norte Brasil Trans. Energia,RJ,Energia Elétrica,565.9,290.3,BR,4,46,0.7,5.1,15.8,-9.5,0,ND,0,742.8,79.3,340.6,836.3,429.3,0.02,2.3233
564,588,Saint-Gobain Vidros,SP,Mat. de Constr. e Decoração,563,14.7,FR,29.6,-16.2,5.3,7.9,45.9,-3.7,0,82.4,-4,525.9,374.2,3.8,40.5,1,1.78,1.1424
565,644,Cacique,PR,Alimentos,562.7,30.1,BR,-10,-209.1,-1.8,-4.6,1.1,-21.9,0,26.6,313.3,532.6,217.2,273.2,145.2,125.8,1.15,ND
566,774,Suécia Veículos,GO,Comércio Varejista,560.7,62.5,BR,41,116.1,7.3,51.5,60.6,-0.5,-0.5,62.5,117.5,195.4,79.7,57.1,145.1,71.6,1.49,1.1493
567,580,Cecrisa,SC,Mat. de Constr. e Decoração,560.5,12.4,BR,-34.8,-294,-6.2,-34.2,29.7,-81.5,0,52.5,-29.7,985.2,101.6,280.2,869.9,275.8,0.66,ND
568,607,SAAB,RJ,Água e Saneamento,558.6,17.7,BR,76.1,-8.9,13.6,22.2,116.8,3.5,0,135,-1.7,630.9,342.7,103,84.1,30.1,1.55,1.0735
569,600,Trombini,PR,Papel e Celulose,555.4,14.4,BR,-33.1,-643.3,-6,-10.5,-29.1,-19.2,0,8.2,-80.8,689.2,314.8,136.6,119,43.4,0.73,ND
570,543,Embaré,MG,Alimentos,555.1,2.6,BR,-2.4,-318.6,-0.4,-4.2,23,-30.7,0,39.8,12.1,339.6,56.4,197.6,501.6,350.1,0.77,ND
571,459,Rota das Bandeiras,SP,Transportes e Logística,552,-16.8,BR,68.4,190.2,12.4,15.2,225.8,-211.5,0,252.9,22.3,2056,449.1,1552.3,357.8,345.6,0.79,ND
572,527,Usina Batatais 1,SP,Açúcar e Álcool,551.8,-1.9,BR,87.4,104.3,15.8,22.5,125,-24.8,0,164.1,23.2,1134.9,388.6,370,192,95.2,1.58,ND
573,599,Baterias Moura,PE,Veículos e Peças,551.6,0,BR,98,0,17.8,19,85.5,22,0,98.2,0,677,515.5,87.7,31.3,17,3.74,0
574,680,Copercampos,SC,Agropecuária,551.5,35.1,BR,13.8,20.5,2.5,5.9,9.8,-4,0,27.7,32.7,550.5,234.3,187.7,135,80.1,1.48,ND
575,601,Petrobahia,BA,Petróleo e Gás,547.8,13.6,BR,1,-29.4,0.2,4.3,3.5,-1.9,0,4.8,31.6,59.6,22.5,24.5,164.7,108.9,1.57,0.9176
576,617,Accor Hotels,SP,Serviços Especializados,547.8,17.6,FR,55.1,850.5,10.1,14.1,58,0.1,0,110.5,232.1,566.9,390.8,4.3,45.1,1.1,1.04,0.7565
577,0,Evonik Degussa,SP,Química e Petroquímica,543.3,3.8,AL,39.5,35.2,7.3,13.4,35.2,-0.8,0,46.4,-8.1,352.6,295.8,6.8,19.2,2.3,4.54,ND
578,583,Sorana,SP,Comércio Varejista,542.9,9.1,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,650,Drogaria Catarinense,SC,Comércio Varejista,542.1,26.8,BR,9.5,-16.5,1.7,21.6,14.5,0.4,0,19.2,-0.6,174,43.7,8,298.5,18.3,0.96,1.0967
580,697,Cooper A1,SC,Comércio Varejista,540.3,39.7,BR,14.3,-13.8,2.6,9.1,13.6,2.2,0,19.7,-8.9,474.9,157.1,225.7,202.3,143.7,1.3,1.2818
581,594,Casan,SC,Água e Saneamento,539.2,10.2,BR,7.9,168.9,1.5,0.6,38.7,-28.8,0,76.8,187.3,2288.5,1277.9,258.6,79.1,20.2,1.23,ND
582,536,Constran,SP,Construção e Engenharia,538.9,-2.3,BR,57,34.7,10.6,7.2,90.4,-31.6,0,93.3,28.7,1316.4,795.7,86.9,65.5,10.9,2.38,ND
583,751,Coasul,PR,Agropecuária,537.8,50.2,BR,-0.4,-106.9,-0.1,-0.3,1.2,-6.2,0,11.6,52,472.9,114.5,201.9,313.2,176.4,1,0.919
584,563,Eliane,SC,Mat. de Constr. e Decoração,536.8,4,BR,-10.6,-11.2,-2,-13.1,40.3,-56.2,0,54.2,-5.6,751.2,80.3,254.8,835,317.2,0.75,ND
585,753,Coplacana,SP,Agropecuária,536.5,49.9,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0,Puma,PE,Petróleo e Gás,535.8,-22.1,BR/HO,-11.5,-227.6,-2.1,-277.7,-4.8,-7.1,0,-2.9,-215.5,62.4,4.1,42,1411.7,1017.6,0.61,ND
587,0,Simarelli,SP,Petróleo e Gás,535.3,32.7,BR,-0.5,53.1,-0.1,-1,-1.6,-0.6,1.2,1.4,-18.4,82,49.4,12.6,66,25.5,1.07,ND
588,474,Skanska,SP,Construção e Engenharia,532.5,-15.3,SE/EP,3.4,-89.6,0.6,2.1,7.5,-3.9,0,12.3,-80.4,402.3,165,0.3,143.9,0.2,1.56,ND
589,**,Abengoa Bioenergia,SP,Química e Petroquímica,530.8,29.6,EP,-98.3,-94.8,-18.5,-14.3,21.7,-163.8,0,95.8,419.9,2540.7,685.5,851.2,270.6,124.2,0.87,ND
590,604,Cia. Agrícola Caiuá,SP,Agropecuária,530.3,10.8,BR,34.8,49.5,6.6,14.4,76.3,-42.1,0,139.8,-2.9,424.3,241.7,72.7,75.5,30.1,1.56,ND
591,662,Cocatrel,MG,Agropecuária,529.2,26.4,BR,10.6,852.7,2,15.2,5.8,4.7,0,7.3,10503.3,164.7,69.5,83.6,136.9,120.2,2.48,1.0448
592,585,Cedro e Cachoeira,MG,"Têxtil, Couro e Vestuário",527.3,6.7,BR,15.9,8.7,3,5.1,42.6,-24,0,56.1,30.5,640.1,311,258.5,105.8,83.1,1.15,1.0394
593,625,Providência,PR,Química e Petroquímica,526.6,16.2,BR,29.5,23.7,5.6,4.3,54.7,-14.1,0,86.2,4.6,1266,689.3,426.9,83.7,61.9,2.73,ND
594,623,Tramontina Cutelaria,RS,Metalurgia e Siderurgia,524.7,14.1,BR,54.4,5.7,10.4,17.6,93.2,-7.4,0,107.7,3.9,561.7,308.5,192.5,82.1,62.4,3.78,1.0029
595,646,Freios Master,RS,Veículos e Peças,524,21.5,BR/US,104.5,20.6,19.9,34.1,60,11.2,0,69.1,12.8,477.4,306.6,105.5,55.7,34.4,2.31,1.0488
596,0,Frigol,SP,Alimentos,523.3,-0.5,BR,2,102,0.4,ND,8.6,-11.7,0,20,126.7,164.2,-46.5,94.3,ND,ND,0.88,ND
597,0,Adubos Sudoeste,GO,Química e Petroquímica,522.3,26.1,BR,32.2,59.5,6.2,21.3,49.6,-12.9,0,56.6,1001.4,438.1,151.1,114.6,190,75.8,1.46,1.0209
598,611,Lupo,SP,"Têxtil, Couro e Vestuário",521.8,11.2,BR,73.7,6.8,14.1,21.4,103.5,-0.1,0,115.2,15.4,449.4,344.4,18.5,30.5,5.4,4.21,0.9528
599,656,Grupo Asa,DF,Alimentos,521.7,17.6,BR,14.8,-57.3,2.8,10.5,37.3,-26.6,0,71.6,-23.4,419.1,141.1,145.8,197,103.4,0.85,1.0648
600,621,Jaraguá Equipamentos,SP,Mecânica,517.9,12.4,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,576,Carbel,MG,Comércio Varejista,517.8,2.9,BR,8.7,-26.7,1.7,17.1,-6.5,-2,0,8,15.2,101,51,4.6,98,8.9,1.85,0.9708
602,0,Destilaria Santa Izabel 1,SP,Açúcar e Álcool,517.3,29,BR,21.2,-31.8,4.1,21.5,35.2,-14.5,0,103.4,12.4,623.1,98.5,407.7,532.5,413.8,2.77,1.0131
603,638,Mili,PR,Papel e Celulose,517.3,16.8,BR,25,-7.4,4.8,18.1,66.4,-41.1,0,102.2,15.3,428.4,138.4,93.6,209.6,67.6,2.88,1.003
604,0,Copobras,SC,Química e Petroquímica,517.1,5.6,BR,-6.8,22.3,-1.3,-7.8,31.7,-47.3,0,54.3,14,578.2,87.2,174.8,562.9,200.4,0.76,ND
605,606,Ebal,BA,Comércio Varejista,516.1,8.4,BR,-27.6,-72.3,-5.3,-97.6,-43.7,4.9,0,-28.5,-144.3,213.5,28.2,0,656,0,1.41,0.7027
606,664,Rima Industrial,MG,Metalurgia e Siderurgia,515.8,23.7,BR,23.2,156.1,4.5,3.4,23.5,-30.5,0,107.7,101,928.2,673,193.7,37.9,28.8,1.67,1.1965
607,584,UBEA,RS,Serviços Especializados,515.2,3.8,BR,32.6,27.5,6.3,4.2,-72.9,20.9,0,28,-8.8,1105.9,768,89.9,44,11.7,1.71,0.9563
608,639,Editora Globo,SP,Comunicação e Gráfica,513.4,17,BR,4.3,-60.1,0.8,39.7,8.9,-6.6,0,15.7,-24.8,200.8,10.8,0,1753.7,0,1,0.7052
609,0,Distribuidora Charrua,RS,Petróleo e Gás,513.3,6.8,BR,10.2,-4.9,2,27.3,13.5,0.5,0,16.8,-6.5,55.1,37.5,3.1,47.1,8.3,5.45,0.3812
610,0,Concessionária Porto Novo 3,RJ,Construção e Engenharia,513.2,0,BR,23.4,0,4.6,0,42.1,-4.3,0,42.2,0,689.9,37.3,577.5,1749.8,1548.3,6,0
611,602,Brejeiro,SP,Alimentos,510.3,5.8,BR,0.2,-47.5,0,0.1,11.2,-10.5,0,17.3,44.2,283.7,164.3,87.7,72.7,53.4,1.13,1.0569
612,524,Armco,SP,Metalurgia e Siderurgia,510.2,-9.7,BR,20.5,-48.6,4,10.4,37.3,-20.5,0,45.4,-31.2,471.3,196,225.8,140.5,115.2,2.92,ND
613,655,Cimento Itambé,PR,Mat. de Constr. e Decoração,509.5,20.3,BR,203.2,19.7,39.9,38,196.8,18.1,0,231.8,18.8,797.4,534.7,170.1,49.1,31.8,2.76,0.939
614,658,Supermercados ABC,MG,Comércio Varejista,508.6,21,BR,11.7,68.2,2.3,33.8,1.1,2.6,0,17.8,51.3,136,34.6,18.4,292.8,53.2,1.36,0.9297
615,624,Cotripal,RS,Agropecuária,508.4,11.3,BR,16.8,1.2,3.3,6,11.4,5.5,0,20.9,0.8,415.5,278.8,60.3,49,21.6,1.99,1.0591
616,637,Lorenzetti,SP,Eletroeletrônica,507.9,14.5,BR,80.6,20.3,15.9,20.9,104.2,7,0,119.7,18.7,525.1,384.6,3.9,36.5,1,3.25,0.9311
617,659,Andritz Hydro Inepar,SP,Mecânica,507.7,21,BR,-6.3,63,-1.2,-4.6,16.1,-20.3,0,19,266.1,602,137.9,116.3,336.6,84.3,1.13,0.7325
618,703,Hospital A. C. Camargo,SP,Serviços Médicos,507.5,25,BR,113.4,47.2,22.3,22.8,93.5,15,0,107.5,41.3,579.1,497.2,1.2,16.5,0.2,3.84,0.9215
619,497,Berneck,PR,Mat. de Constr. e Decoração,506,-3.8,BR,66.4,-47.4,13.1,7.3,87.7,-16.6,0,149.5,-33.3,1782,914.4,423.8,94.9,46.3,2.52,ND
620,0,Delga Participacões,SP,Veículos e Peças,505,-0.4,BR,17.6,-4.6,3.5,25.4,46.4,-23.1,0,52.9,-0.6,287.7,69.4,102.8,314.6,148.2,2.04,ND
621,304,Atlântico Sul,PE,Veículos e Peças,504.4,-53.8,BR,-1367.7,-83803.6,-271.2,-254.5,-1110.7,-252.2,0,-1037.6,-805.2,4416,537.5,2268.5,721.6,422.1,0.87,ND
622,**,Frisa,ES,Alimentos,503,2.8,BR,6.8,-15.3,1.3,8.5,15,-7,0,23.3,1.2,202.8,80.2,62,153,77.4,1.4,0.9387
623,731,Ecom Energia,SP,Energia Elétrica,498.8,33.4,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,619,"Toniolo, Busnello",RS,Construção e Engenharia,497.4,6.9,BR,30.4,-7.1,6.1,17.6,39.5,-11.6,0,71.4,6.1,357.1,173,122.9,106.5,71,1.67,0.7172
625,523,Florença Veículos,PR,Comércio Varejista,494.7,-13,BR,-5.5,-210.3,-1.1,-86.1,-22.9,5.7,0,-10.8,21.5,111.3,6.4,25,1646.1,392.5,0.77,ND
626,470,Xerox do Brasil,RJ,Eletroeletrônica,494,-22,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,715,Scopus Tecnologia,SP,Tecnologia da Informação,493.2,28.4,BR,29.3,45.2,5.9,20.1,34.6,9.7,0,42.1,64.5,252.5,145.2,0,73.8,0,1.25,1.0277
628,698,Sulgás,RS,Petróleo e Gás,492.1,23.7,BR,78.5,-11.6,15.9,62.9,97.6,8.3,0,121.5,-13.1,277.8,124.8,0,122.6,0,1.19,ND
629,0,Flora,SP,Química e Petroquímica,489.9,47.4,BR,-80.1,-28.3,-16.3,-26.5,-78.1,-36.3,0,-67.4,-114.8,1054.3,301.8,442.3,249.3,146.5,0.47,0.2635
630,592,RIP,SP,Serviços Especializados,489.7,-0.1,BR,26.7,-12,5.5,9.7,41.4,-11.6,0,48.1,-6.9,366.6,274.5,0,33.6,0,2.93,ND
631,626,SC Gás,SC,Petróleo e Gás,489.4,8,BR,44,-45.6,9,25,64.3,1.5,0,90.5,-36.4,311.6,176.2,8.7,76.9,4.9,0.72,ND
632,684,Hortigil,ES,Comércio Varejista,487.2,19.8,BR,6.5,321.7,1.3,10,6.7,-0.2,0.3,20.6,25.7,164.2,65.5,13.1,150.7,19.9,1.02,0.6983
633,622,Nutron Alimentos,SP,Alimentos,487.2,6,HO,40.6,-16.1,8.3,46,60.1,3,0,65.9,-7,178.7,88.2,0.1,102.5,0.1,1.58,0.8297
634,709,Voith Paper,SP,Mecânica,487.1,25.8,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,642,PUC Minas,MG,Serviços Especializados,484.7,11.8,BR,1.5,352.6,0.3,0.6,-3.5,2.8,0,11.1,2.8,427,273.3,57.3,56.2,21,0.66,1.0725
636,0,State Grid Brazil Holding,RJ,Energia Elétrica,484.3,0,BR,60.5,0,12.5,4.7,440.4,-292,0,440.6,0,3923.6,1293,815.9,203.5,63.1,4.88,0
637,603,Sinobras,PA,Metalurgia e Siderurgia,484,1,BR,-2,-104,-0.4,-0.5,34.5,-36.7,0,66.9,-36.1,1029.9,376,386.8,173.9,102.9,1.16,ND
638,667,GDC,SC,Alimentos,481.9,15.9,EP,25.2,-21.9,5.2,15.7,44.3,-8.4,0,60.7,-8.3,305.3,160.1,87.4,90.7,54.6,1.75,1.0874
639,586,Irani,RS,Papel e Celulose,481.5,8.8,BR,9.4,-72.8,1.9,2,51.2,-52.5,0,113.6,-15.5,1181.8,464.3,368.7,154.6,79.4,1.08,ND
640,498,Diebold Procomp,SP,Tecnologia da Informação,481.2,-18.7,US,24.1,6.7,5,6.7,7.2,19,0,57.1,28.8,450,360,0,25,0,3.9,ND
641,952,Net Shoes,SP,Comércio Varejista,480.8,0,BR,-39.9,0,-8.3,-2731.8,-33.8,-23.6,0,-29.1,0,422.3,1.5,299.2,28803.8,20480.9,1.24,0
642,668,Clarex,SP,Comércio Atacadista e Exterior,479.3,15.4,BR,19,34.2,4,20.7,14.9,11.4,0,15,12.2,131.2,91.8,6.2,42.9,6.8,3.34,0.9761
643,555,SOG,RJ,Construção e Engenharia,479.1,-8.8,BR,47.3,-16.9,9.9,23.8,66.4,14.2,0,66.7,-11.7,288.2,198.5,0,45.2,0,3.91,ND
644,620,Sanasa,SP,Água e Saneamento,478.5,3.7,BR,54.2,-7.4,11.3,15,86.1,-33.2,0,124.9,-4,911.7,360.5,284,152.9,78.8,1.31,0.9334
645,635,Copergás,PE,Petróleo e Gás,477.8,7.6,BR,32.1,-14,6.7,15.8,6.9,5.4,0,58.9,-9.7,316.6,202.2,0,56.5,0,1.28,ND
646,645,Masisa do Brasil,PR,Mat. de Constr. e Decoração,477.6,10.4,CL,-39.2,-272.4,-8.2,-19.5,20.9,-80.3,0,53.7,-34.5,848.6,201,212.1,322.2,105.5,0.76,ND
647,875,Technicolor Brasil,AM,Eletroeletrônica,475.4,64.6,US,13.8,245.4,2.9,6.8,19.6,1.2,0,23.2,2042.3,283.3,203.8,4.3,39,2.1,3.12,1.5344
648,529,Petronas Lubricantes Brasil 3,MG,Química e Petroquímica,474.8,0,IT,37.1,0,7.8,0,56.8,-1.1,0,58.8,0,361.1,126.6,61,185.3,48.2,1.35,0
649,0,Terracap,DF,Construção e Engenharia,474,-13.2,BR,101.3,348.2,21.4,9,-1,174.5,0,5.6,104.7,2729.8,1122.1,0,143.3,0,1.5,ND
650,763,Le Lis Blanc Deux,SP,"Têxtil, Couro e Vestuário",471.1,34.2,BR,37.7,1.6,8,19.1,90.9,-36.1,0,100.5,35.7,542.9,197,205.3,175.6,104.2,2.11,1.042
651,629,RBS Participações,RS,Comunicação e Gráfica,470.1,4.5,BR,104.6,-3.2,22.2,54,154.5,1.6,0,165.7,4.4,658.6,193.7,318.2,240.1,164.3,2.57,0.9649
652,0,Schering,SP,Farmacêutica e Cosméticos,468.3,-3.9,EP,79.5,64,17,33.9,85.9,-16.5,0,126.1,57.2,412.3,234.9,24.9,75.5,10.6,3.92,ND
653,0,Digiboard Eletrônica da AM,AM,Eletroeletrônica,466.7,74.3,BR,-32.9,-49182.1,-7,ND,-9.4,-23.8,0,-5.4,-252.7,158.3,-9.3,85.3,ND,ND,1.03,ND
654,616,Prodesp,SP,Tecnologia da Informação,466.3,0.1,BR,2.1,-92.2,0.5,0.6,-7.7,9.7,0.1,64.9,-14.4,470,343.4,0,36.9,0,2.29,0.9866
655,565,Hospfar,GO,Comércio Atacadista e Exterior,465.6,-9.3,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,932,Lanxess,SP,Química e Petroquímica,464.5,74.7,EP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,783,Comil,RS,Veículos e Peças,463.5,36.7,BR,20.3,51.6,4.4,27.5,26.1,2.9,0,34.5,52.1,421.3,74.1,243.5,468.7,328.7,1.81,1.0669
658,890,Petrocoque,SP,Química e Petroquímica,462.6,62.9,BR,40,70.2,8.7,34.3,85,-25.8,0,97.6,105.3,326.1,116.6,165.6,179.7,142.1,1.19,1.1956
659,748,Supervia,RJ,Transportes e Logística,460.5,28.6,BR,28.2,242.9,6.1,13.8,-5,-16.8,0,32.7,-31,573.5,203.3,89.9,182.1,44.2,0.27,0.7502
660,767,Minasul,MG,Agropecuária,460.2,31.7,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,711,Atlas Transportes,SP,Transportes e Logística,459.6,19,BR,20.3,117.3,4.4,29.5,36.7,-3.5,-2.2,48.6,67.4,127.7,68.9,24.5,85.5,35.5,2.36,0.839
662,669,Grupo Jorge Batista,PI,Comércio Atacadista e Exterior,459.5,10.9,BR,33.4,25.6,7.3,22,32.9,-16.8,22.3,36.2,-8.3,278,151.3,21,83.7,13.9,1.61,0.8733
663,730,Cremer,SC,Farmacêutica e Cosméticos,457.8,21.9,BR,18.6,-42.1,4.1,6.2,38.9,-20.7,0,66.2,18.8,809.3,300.7,340.5,169.1,113.2,2.42,1.1588
664,670,Global Crossing,SP,Telecomunicações,457.3,10.7,US,57.2,-64.3,12.5,98.1,108.9,-29.6,0,162.1,-2.8,534.8,58.3,21.6,818,37.1,0.89,ND
665,0,Cinpal,SP,Veículos e Peças,457.3,6.5,BR,75.3,-1.6,16.5,17.6,110.8,1.7,0,127.7,-6.4,526.6,428.5,5.3,22.9,1.2,5.59,0.8891
666,788,Vital Engenharia,RJ,Serviços Especializados,455.8,21.6,BR,27.2,218.9,6,10,45.6,-11.7,0,70.2,119.2,437.3,271.4,109.4,61.1,40.3,5,0.6019
667,841,Capal,PR,Agropecuária,454.8,48.2,BR,23.3,44.5,5.1,15.6,19.9,5.1,0,25.5,55.4,306.2,149.2,101.1,105.2,67.7,2.99,1.2774
668,654,Mackenzie,SP,Serviços Especializados,454.7,7.3,BR,37.1,12.5,8.2,7.1,22.3,14.9,0,35.1,5.2,600.3,524.1,17.5,14.5,3.3,2.62,0.9969
669,741,MGS,MG,Serviços Especializados,453.7,23.9,BR,7.1,64.2,1.6,21.1,4.2,1.5,0,8.6,24.7,118.4,33.8,0,250.6,0,1.26,0.9807
670,738,Formosa,PA,Comércio Varejista,453.1,22.8,BR,7,9.8,1.5,24.8,2.5,-2.3,0.1,16.5,28.5,123.8,28.2,14.5,338.5,51.5,0.75,ND
671,0,Rio Branco,ES,Comércio Atacadista e Exterior,452.2,-1.1,BR,2.5,-61.7,0.6,10.4,9.3,-6.7,1.1,11.6,-22.7,172.7,23.9,39.4,621,164.4,1.8,ND
672,581,CDHU,SP,Construção e Engenharia,451.5,-9.5,BR,-200.6,-381.5,-44.4,-2.6,-589.2,388.5,0,-587.2,-69.8,9257.5,7655.2,222.3,20.9,2.9,2.91,ND
673,671,PUC PR,PR,Serviços Especializados,450.2,9,BR,45.4,-4,10.1,11.1,23.7,12,0,51.2,0.6,617.8,411.1,56.9,50.3,13.8,1.32,0.9699
674,771,Custódio Forzza,ES,Comércio Atacadista e Exterior,448.6,29.4,BR,3.2,-32.9,0.7,5,5.7,-8.3,0,7,118.2,248.2,63.8,165.5,289.2,259.4,1.09,1.2198
675,814,INB,RJ,Mineração,448,39.3,BR,-27.1,-73.9,-6.1,-6.1,-15.1,-10.9,0,11.2,-55.9,861.9,444.3,0,94,0,2.15,1.3143
676,755,Cosuel Dalia,RS,Agropecuária,446.4,25.3,BR,11.3,21,2.5,15.3,12.3,0.2,0,22.2,0.7,355,73.9,216.6,380.5,293.2,1.16,1.0195
677,0,Sandvik MGS,SP,Mecânica,445.6,75.8,SE,10.1,392.8,2.3,13.3,19.3,-7.2,0,20.2,313.2,343.7,76,0,352.6,0,1.37,1.5242
678,0,Armazem Paraíba,SP,Comércio Varejista,444.6,5.9,BR,67.7,17.9,15.2,9.8,9.7,49.7,1.9,45.9,7.1,1029.5,691.2,84.6,49,12.2,3.23,0.9578
679,643,Tejofran,SP,Serviços Especializados,444,2.5,BR,6,-84.5,1.3,5,3.4,4.4,0,12,-72.3,199,120.4,10.7,65.2,8.9,1.94,ND
680,691,Brasal Refrigerantes,DF,Bebidas e Fumo,442.5,9.7,BR,36.4,-33.3,8.2,24.9,11.9,13.1,2.4,41.3,-34.3,272,146.2,50.7,86.1,34.7,1.5,0.9937
681,702,Hope RH,RJ,Serviços Especializados,441.5,11.2,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,681,Cesan,ES,Água e Saneamento,441.5,8.2,BR,32.4,-48.1,7.3,2.7,61.6,-18.3,0,121.8,-0.7,1979.5,1213.6,223.9,63.1,18.4,1,0.9185
683,688,Bauche,SP,Comércio Atacadista e Exterior,441.1,9.2,FR,0.6,-52.8,0.1,14.3,2.9,-2,0,3.1,37.5,38.4,4.1,33.8,846.1,831.9,1,0.9362
684,780,Laticínios Jussara,SP,Alimentos,438.7,28.7,BR,28.8,85.3,6.6,26.1,34.3,4.2,0,43.8,134.3,251,110.4,90.5,127.4,82,1.59,1.0142
685,0,Covabra,SP,Comércio Varejista,438.3,19.3,BR,5.9,-34.5,1.4,54.7,14.9,-5.9,0,22.6,9,135.1,10.8,21.7,1145.3,200.3,0.93,ND
686,735,Buffon,RS,Petróleo e Gás,437.3,17.4,BR,3.7,193.1,0.8,7.8,8.6,-5.7,2.4,11.6,1.6,74.1,47.1,2.7,57.1,5.7,3.12,1.0601
687,829,Leão Engenharia,SP,Construção e Engenharia,437.3,39.3,BR,15.7,52.1,3.6,19.5,23.3,-6.5,0,30.5,70.5,131.7,80.4,12.6,63.8,15.6,2.35,0.9402
688,718,Piraquê,RJ,Alimentos,436.2,12.8,BR,40.5,15.1,9.3,10.1,17.4,21.6,0,26.6,-42.8,557.5,399.4,19.7,39.6,4.9,4.62,1.0755
689,978,Coagrisol,RS,Agropecuária,435.7,78.5,BR,6.2,81.3,1.4,9.5,8.2,-3.5,0,10.9,79.5,269.3,65.3,82.5,312.2,126.3,0.95,1.6275
690,699,Brenntag,SP,Química e Petroquímica,435.5,9.5,HO,12.7,-48,2.9,19,22.7,0,-1.9,23.9,1.6,136.8,66.7,0,105.1,0,1.54,0.8871
691,0,Arcadis Logos,SP,Construção e Engenharia,433.8,34,HO,44.5,80.3,10.3,35.9,46.4,-17,0,87.9,38.1,231.7,124.1,49.8,86.7,40.1,1.96,0.9874
692,696,Mineração Caraíba,BA,Mineração,433.8,8.2,BR,143.8,37.7,33.2,44.6,121.8,30.6,0,174.1,-7.8,830.2,322.5,325.5,157.4,100.9,0.61,0.7838
693,0,Cooparaiso,MG,Agropecuária,433.4,3.7,BR,2.1,135.5,0.5,7.4,3.9,-2.5,0,5.4,190.5,308.9,28.4,128.6,986.1,451.9,1.01,0.5972
694,0,Adecoagro Brasil,SP,Açúcar e Álcool,432.8,21.6,BR,80.8,175.8,18.7,7.1,134.3,-47.1,0,202.9,319.1,1605,1142.3,376.6,40.5,33,1.76,0.681
695,784,Lopes,SP,Serviços Especializados,432.4,27.7,BR,150.6,14.1,34.8,28.4,91.2,77,0,138.5,-17.5,1132.9,531,88.3,113.4,16.6,1.65,0.804
696,675,Borlem,SP,Veículos e Peças,432.3,5.2,AL/BR,62.8,33,14.5,29.6,69,9.2,0,80.5,18.8,282.8,212.4,0,33.1,0,1.55,0.833
697,682,Marisol,SC,"Têxtil, Couro e Vestuário",431.4,6.1,BR,38.3,71.8,8.9,10.3,25.5,-2.5,0,65.3,37.5,558.8,373,70.4,49.8,18.9,2.72,0.9758
698,997,Unilider,ES,Comércio Atacadista e Exterior,430.9,83.1,BR,5.4,101.1,1.3,19.2,13.6,-5.4,0,15.9,92.9,146.3,28.2,54.3,417.9,192.1,1.4,1.0843
699,0,WTorre,SP,Construção e Engenharia,429.6,-57.8,BR,109.1,-40.4,25.4,16.2,48.2,-366.2,0,631.7,-15,2479.5,675.2,663.9,267.2,98.3,0.91,ND
