Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
Banestes,ON,28127603000178,BR,ativo,115,Bancos,Finanças e Seguros,Ação,Bovespa,BEES3,BRBEESACNOR9,12,10317381,839067,-,-,80278,Real,151488,0.052992976341,0.55388347592,-,0.030996420032,4.1,5.1,Governo do Estado do Espirito Santo,92.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Estado do Espirito Santo,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banpara,ON,4913711000108,BR,ativo,117,Bancos,Finanças e Seguros,Ação,Bovespa,BPAR3,BRBPARACNOR5,12,2740013,373157,-,-,124868,Real,9522,13.114115002,39.190375533,-,2.205008898,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Estado do Para,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banrisul,ON,92702067000196,BR,ativo,121,Bancos,Finanças e Seguros,Ação,Bovespa,BRSR3,BRBRSRACNOR3,12,38316707,4582022,-,-,934021,Real,408974,2.2838151081,11.20369999,-,0.7699194835,5.3,5.0,Skagen Kon Tiki Verdipapirfond,15.4,Estado do Rio Grande do Sul,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Estado do Rio Grande do Sul,100,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bardella,ON,60851615000153,BR,ativo,152,"Industria de máquinas agrícolas, de construção e mineração",Máquinas Indust,Ação,Bovespa,BDLL3,BRBDLLACNOR1,12,835574,438057,610185,91430,34652,Real,1600,21.6575,273.785625,381.365625,17.67,-,-,Joseph Yacoub Safra,26.7,Fundo de Investimento Fator Jabura Acoes,15.6,Moise Yacoub Safra,9.2,Cb Holding SA,1.6,Sandra Bardella R M Soares,0.1,Monica Bardella R A Machado,0.1,Patricia Bardella R Puolli,0.1,Claudio Bardella Junior,0,-,0.0,-,0.0,Cb Holding SA,58,Sandra Bardella R M Soares,7.7,Monica Bardella R A Machado,8,Patricia Bardella R Puolli,7.7,Joseph Yacoub Safra,1,Moise Yacoub Safra,1,Claudio Bardella,0.0,Ana Tereza Bardella,0,-,0,-,0.0
Battistella,ON,42331462000131,BR,ativo,1545,Concessionárias de outros veículos motorizados,Comércio,Ação,Bovespa,BTTL3,BRBTTLACNOR0,12,564993,-31161,948616,124943,-47926,Real,149678,-0.32019401649,-0.2081869079,6.337711621,0,0.0,0.0,Alianca Bat. A.P. e Adm. de Bens Lt,59.8,E.M. Marim Adm. e Part. Ltda,9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Alianca Bat. A.P. e Adm. de Bens Lt,59,E.M. Marim Adm. e Part. Ltda,9.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Baumer,ON,61374161000130,BR,ativo,156,Indústria de equipamentos e materiais para uso médico,Outros,Ação,Bovespa,BALM3,BRBALMACNOR5,12,88433,47192,93512,54250,6933,Real,980,7.0744897959,48.155102041,95.420408163,1.24,-,-,Monica Salvari Baumer,26.7,Thales Leite Ribeiro,25.2,Maria Cristina Baumer Azevedo,19.6,Condustil Part SA,0.9,Ruy Salvari Baumer,0.8,-,-,-,-,-,-,-,-,-,-,Condustil Part SA,50,Ruy Salvari Baumer,32.6,Monica Salvari Baumer,6,Maria Cristina Baumer Azevedo,5.8,Thales Leite Ribeiro,0,-,-,-,-,-,-,-,-,-,-
Bematech,ON,82373077000171,BR,ativo,2065,Indústria de computadores e produtos eletrônicos,Eletroeletrônicos,Ação,Bovespa,BEMA3,BRBEMAACNOR0,12,465793,343318,295032,110049,-42428,Real,51377,-0.82429981533,6.6822675387,5.7319417158,355,9.1,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marcel Martins Malczewscki,11,Wolney Edirley Goncalves Betiol,10.1,Fundamental Investimentos Ltda.,9,Bndespar - BNDES Participacoes SA,8.6,Guepardo Investimentos Ltda.,6,Credit Suisse Hedging-Griffo C. V. S/A,5,Mcap Poland Fundo de Investimento em Acoes,5.1,-,-,-,-,-,-
BHG,ON,8723106000125,BR,ativo,2090,Outras indústrias da recreação,Outros,Ação,Bovespa,BHGR3,BRBHGRACNOR9,12,1016102,724945,186931,105198,7957,Real,40296,0.20349619545,17.990495335,4.7806644855,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Latin America Hotels Llc,45,Mfc Global Investment Management Llc,9.6,Espirito Santo Tourism S.A.,6,Acoes em Tesouraria,1.9,Gpcp4 FIP,1,-,-,-,-,-,-,-,-,-,-
Bic Monark,ON,56992423000190,BR,ativo,169,Indústria de outros equipamentos de transporte,Veiculos e peças,Ação,Bovespa,BMKS3,BRBMKSACNOR9,12,251554,205224,34572,12644,23676,Real,455,52.063771303,451.28971963,76.024189115,367.72,111.4,53.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Monark Participacoes Ltda,63,Previ Cx Prev Funcs Bco Brasil,10.0,Seb Forvaltnings Ab,10,Sme Participacoes Ltda,2.8,Sylvio Marzagao,2,Dyon Participacoes Ltda,1,-,-,-,-,-,-,-,-
Bicbanco,ON,7450604000189,BR,ativo,2111,Bancos,Finanças e Seguros,Ação,Bovespa,BICB3,BRBICBACNOR0,12,17230483,2064716,-,-,333971,Real,246024,1.3297617043,8.3923357071,-,0.50624138,4.6,4.0,Jose Bezerra de Menezes,10.5,Acoes em Tesouraria,7.4,Francisco Humberto Bezerra,4.6,Jose Adauto Bezerra Junior,3.1,Sergio da Silva Bezerra de Menezes,3.0,Gemini Holding S/A,2.5,Jose Adauto Bezerra,1.4,Bic Corretora de Cambio e Valores S,1,Daniel Joseph Mcquoid,0.0,-,0.0,Gemini Holding S/A,46,Jose Bezerra de Menezes,17.3,Bic Corretora de Cambio e Valores S,17,Jose Adauto Bezerra Junior,5.2,Sergio da Silva Bezerra de Menezes,5,Francisco Humberto Bezerra,5,Jose Adauto Bezerra,2.4,Norma da Silva Bezerra,0,Daniel Joseph Mcquoid,0,-,0.0
Biomm,ON,4752991000110,BR,ativo,1930,Pesquisa científica,Outros,Ação,Bovespa,BIOM3,BRBIOMACNOR2,12,12550,-8758,0,0,-4675,Real,17339,-0.26962914781,-0.50510896552,0,0,0.0,0.0,Fama Investimentos Ltda,27.3,Bndespar - BNDES Participacoes SA,25.4,Biopart Ltda,5.0,Emvest Emrich Investimentos,4.9,-,-,-,-,-,-,-,-,-,-,-,-,Biopart Ltda,47,Emvest Emrich Investimentos,30.5,Fama Investimentos Ltda,2,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
