nome,sinonimo,fonte
Itaúsa - Investimentos Itaú S.A.,Itausa Invest Itau S.A.,Economatica associado
Itaúsa - Investimentos Itaú S.A.,Itausa,Economatica
JEREISSATI PARTICIPAÇÕES S.A.,Jereissati,Economatica
JHSF Part,JHSF Par S/A,Economatica associado
JHSF Part,JHSF Participações,Valor
Jaime M Chalam,Jaime M. Chalan,Econoinfo associado
Jereissati,Jereissati Participacoes S/A,Economatica associado
João Fortes Engenharia,Joao Fortes,Economatica
Kimberly-Clark,Kimberly-Clark 2,Valor
La Fonte Tel,La Fonte Telecom,Economatica associado
Lanxess Participacoes,Lanxess,Valor
Lanxess,Lanxess Elastômeros,Valor
Latam Airlines Group,LATAM Airlines S.A.,Econoinfo associado
Le Lis Blanc,Le Lis Blanc Deux,Valor
Leader,Leader Magazine,Valor
Light,Light Energia SA,Economatica associado
Litel Participações S.A.,Litel,Economatica
Locamérica Frotas,Locamerica,Economatica
Locamérica Frotas,Locamerica,Economatica
Lojas Americanas,Lojas Americ,Economatica
Lopes Brasil,Lopes,Valor
Líder Aviação,Líder Táxi Aéreo,Valor
M&G Poliéster,M G Poliest,Economatica
MMX Mineração e Metálicos,MMX Miner,Economatica
MRN,Mineração Rio do Norte S.A. - MRN,Vale (site) associado
Magazine Luiza,Magaz Luiza,Economatica
Magnesita Refratarios SA,Magnesita SA,Economatica
Magnesita Refratarios SA,Magnesita,Valor
Mahle Metal Leve,Metal Leve,Economatica
Marcosa,Marcosa S/A Maquinas e Equipamentos,Economatica associado
Marfrig,Marfrig Alimentos SA,Economatica associado
Martin-Brower,Martin-Brower 2,Valor
Maxion,Iochp-Maxion,Economatica
Maxion,Iochpe-Maxion,Valor
Millennium Inorganic Chemic.,Millennium,Economatica
Mills Estruturas Engenharia,Mills,Economatica
Minasmáquinas,Minasmaquinas,Economatica
Mitsubishi Motors,Mitsubishi Motors 2,Valor
Mrv,MRV Engenharia,Valor
Nadir Figueiredo,Nadir Figuei,Economatica
Neoenergia,Neoenergia S/A,Economatica associado
Nestlé,Nestlé 2,Valor
Net,NET Serviços,Valor
Net,Net Servicos de Comunicacoes S.A,Economatica associado
ODBINV S/A,Odebrecht,Economatica
Odebrecht Realizações Imobiliárias,Odebrecht Real. Imob.,Valor
Odebrecht Serviços e Part.,Odebrecht Servicos e Participacoes SA,Economatica associado
Odebrecht,Odebrecht S.A.,Economatica associado
Oderich,Conservas Oderich,Valor
Oi,Oi SA,Economatica associado
PDG Realt,PDG Realty,Valor
Panatlântica,Panatlantica,Economatica
Panvel Farmácias,Dimed,Economatica
Pedro Ometto S.A. Administração e Participações,Pedro Ometto S/A Adm e Part,Economatica associado
Petrobras,Petroleo Brasileiro S/A Petrobras,Economatica associado
Petroquisa,Petrobras Quimica S/A Petroquisa,Economatica associado
Pettenati,Pettenati 1,Valor
Peugeot Citroën,PSA Peugeot Citroën,Valor
Pfizer,Pfizer 2,Valor
Positivo,Positivo Inf,Economatica
Positivo,Positivo Informática,Valor
Promon Engenharia,Promon,Valor
Prysmian,Prysmian Energia,Valor
Puc-Sp,PUC SP,Valor
Pão de Açúcar,Cia Brasileira de Distribuicao,Economatica associado
