Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|do ult balanco|no exercício|consolid:sim*,Ativo Tot|do ult balanco|em moeda orig|consolid:sim*,Patrim Liq|do ult balanco|em moeda orig|consolid:sim*,Receita|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Liq|do ult balanco|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|05Set12,LPA|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|do ult balanco|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|05Set12|1 anos|em moeda orig,Div Yld (fim)|05Set12|no Ano|em moeda orig,Div Yld (inic)|05Set12|1 anos|em moeda orig,PrinAcion|+Recente|1.Maior|Sem Voto,AcPossuid|+Recente|1.Maior|Sem Voto,PrinAcion|+Recente|2.Maior|Sem Voto,AcPossuid|+Recente|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|+Recente|3.Maior|Sem Voto,PrinAcion|+Recente|4.Maior|Sem Voto,AcPossuid|+Recente|4.Maior|Sem Voto,PrinAcion|+Recente|5.Maior|Sem Voto,AcPossuid|+Recente|5.Maior|Sem Voto,PrinAcion|+Recente|6.Maior|Sem Voto,AcPossuid|+Recente|6.Maior|Sem Voto,PrinAcion|+Recente|7.Maior|Sem Voto,AcPossuid|+Recente|7.Maior|Sem Voto,PrinAcion|+Recente|8.Maior|Sem Voto,AcPossuid|+Recente|8.Maior|Sem Voto,PrinAcion|+Recente|9.Maior|Sem Voto,AcPossuid|+Recente|9.Maior|Sem Voto,PrinAcion|+Recente|10.Maior|Sem Voto,AcPossuid|+Recente|10.Maior|Sem Voto,PrinAcion|+Recente|1.Maior|Com Voto,AcPossuid|+Recente|1.Maior|Com Voto,PrinAcion|+Recente|2.Maior|Com Voto,AcPossuid|+Recente|2.Maior|Com Voto,PrinAcion|+Recente|3.Maior|Com Voto,AcPossuid|+Recente|3.Maior|Com Voto,PrinAcion|+Recente|4.Maior|Com Voto,AcPossuid|+Recente|4.Maior|Com Voto,PrinAcion|+Recente|5.Maior|Com Voto,AcPossuid|+Recente|5.Maior|Com Voto,PrinAcion|+Recente|6.Maior|Com Voto,AcPossuid|+Recente|6.Maior|Com Voto,PrinAcion|+Recente|7.Maior|Com Voto,AcPossuid|+Recente|7.Maior|Com Voto,PrinAcion|+Recente|8.Maior|Com Voto,AcPossuid|+Recente|8.Maior|Com Voto,PrinAcion|+Recente|9.Maior|Com Voto,AcPossuid|+Recente|9.Maior|Com Voto,PrinAcion|+Recente|10.Maior|Com Voto,AcPossuid|+Recente|10.Maior|Com Voto
Elekeiroz,ON,13788120000147,BR,ativo,435,Indústria química básica,Química,Ação,Bovespa,ELEK3,BRELEKACNOR5,6,652204000,474870000,421825000,43463000,-1397000,Real,14518000,-0.16553914562,15.0824202,26.358202319,0.01079,0.2,0.1,Itausa Invest Itau S.A.,16117360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Itausa Invest Itau S.A.,14261761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elekeiroz,PN,13788120000147,BR,ativo,435,Indústria química básica,Química,Ação,Bovespa,ELEK4,BRELEKACNPR2,6,652204000,474870000,421825000,43463000,-1397000,Real,16967000,-0.16553914562,15.0824202,26.358202319,0.01079,0.2,0.1,Itausa Invest Itau S.A.,16117360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Itausa Invest Itau S.A.,14261761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elektro,ON,2328280000197,BR,ativo,1748,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EKTR3,BREKTRACNOR0,6,4165281000,2109017000,1742947000,456068000,221645000,Real,91880972,2.3098095464,10.884728531,18.259632643,2.009638136,-,8.2,Iberdrola Brasil S.A.,101279596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Iberdrola Brasil S.A.,91855825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elektro,PN,2328280000197,BR,ativo,1748,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EKTR4,BREKTRACNPR7,6,4165281000,2109017000,1742947000,456068000,221645000,Real,101878293,2.3098095464,10.884728531,18.259632643,2.210601934,6.8,9.6,Iberdrola Brasil S.A.,101279596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Iberdrola Brasil S.A.,91855825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eletrobras,ON,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,"ADR,etc (emp estrang)",NYSE,EBR,US15234Q2075,6,167774958000,78784001000,18589749000,16001692000,2616751000,Real,1087050297,-,-,-,0.65,10.0,6.5,JP Morgan Chase Bank,37169519,Skagen Kon Tiki Verdipapirfond,27493563,Bndespar - BNDES Participacoes SA,18691102,BNDES - Banco Nac de Desenvol Economico e Social,18262671,"Blackrock, Inc",13389499,Fundo Garantidor Para Investimentos Fgi,8750000,Fundo Garantia de Operacoes Fgo,468600,Victor Adler,50200,Uniao Federal (Tesouro Nacional),2252,-,0,Uniao Federal (Tesouro Nacional),552968382,Bndespar - BNDES Participacoes SA,180757951,BNDES - Banco Nac de Desenvol Economico e Social,76338832,JP Morgan Chase Bank,76248894,Fnd Fundo Nacional de Desenvolvimento,45621589,Caixa Economica Federal,8701564,Fundo Garantidor de Habitacao Fghab,1000000,-,0,-,0,-,0
Eletrobras,ON,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELET3,BRELETACNOR6,6,167774958000,78784001000,18589749000,16001692000,2616751000,Real,1087050297,3.5028859615,58.244872727,28.136833901,1.276066299,9.7,8.0,JP Morgan Chase Bank,37169519,Skagen Kon Tiki Verdipapirfond,27493563,Bndespar - BNDES Participacoes SA,18691102,BNDES - Banco Nac de Desenvol Economico e Social,18262671,"Blackrock, Inc",13389499,Fundo Garantidor Para Investimentos Fgi,8750000,Fundo Garantia de Operacoes Fgo,468600,Victor Adler,50200,Uniao Federal (Tesouro Nacional),2252,-,0,Uniao Federal (Tesouro Nacional),552968382,Bndespar - BNDES Participacoes SA,180757951,BNDES - Banco Nac de Desenvol Economico e Social,76338832,JP Morgan Chase Bank,76248894,Fnd Fundo Nacional de Desenvolvimento,45621589,Caixa Economica Federal,8701564,Fundo Garantidor de Habitacao Fghab,1000000,-,0,-,0,-,0
Eletrobras,PNA,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELET5,BRELETACNPA9,6,167774958000,78784001000,18589749000,16001692000,2616751000,Real,147000,3.5028859615,58.244872727,28.136833901,2.256573108,-,-,JP Morgan Chase Bank,37169519,Skagen Kon Tiki Verdipapirfond,27493563,Bndespar - BNDES Participacoes SA,18691102,BNDES - Banco Nac de Desenvol Economico e Social,18262671,"Blackrock, Inc",13389499,Fundo Garantidor Para Investimentos Fgi,8750000,Fundo Garantia de Operacoes Fgo,468600,Victor Adler,50200,Uniao Federal (Tesouro Nacional),2252,-,0,Uniao Federal (Tesouro Nacional),552968382,Bndespar - BNDES Participacoes SA,180757951,BNDES - Banco Nac de Desenvol Economico e Social,76338832,JP Morgan Chase Bank,76248894,Fnd Fundo Nacional de Desenvolvimento,45621589,Caixa Economica Federal,8701564,Fundo Garantidor de Habitacao Fghab,1000000,-,0,-,0,-,0
Eletrobras,PNB,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,"ADR,etc (emp estrang)",NYSE,EBR.B,US15234Q1085,6,167774958000,78784001000,18589749000,16001692000,2616751000,Real,265436803,-,-,-,0.87,9.5,6.6,JP Morgan Chase Bank,37169519,Skagen Kon Tiki Verdipapirfond,27493563,Bndespar - BNDES Participacoes SA,18691102,BNDES - Banco Nac de Desenvol Economico e Social,18262671,"Blackrock, Inc",13389499,Fundo Garantidor Para Investimentos Fgi,8750000,Fundo Garantia de Operacoes Fgo,468600,Victor Adler,50200,Uniao Federal (Tesouro Nacional),2252,-,0,Uniao Federal (Tesouro Nacional),552968382,Bndespar - BNDES Participacoes SA,180757951,BNDES - Banco Nac de Desenvol Economico e Social,76338832,JP Morgan Chase Bank,76248894,Fnd Fundo Nacional de Desenvolvimento,45621589,Caixa Economica Federal,8701564,Fundo Garantidor de Habitacao Fghab,1000000,-,0,-,0,-,0
Eletrobras,PNB,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELET6,BRELETACNPB7,6,167774958000,78784001000,18589749000,16001692000,2616751000,Real,265436803,3.5028859615,58.244872727,28.136833901,1.692429835,9.0,8.2,JP Morgan Chase Bank,37169519,Skagen Kon Tiki Verdipapirfond,27493563,Bndespar - BNDES Participacoes SA,18691102,BNDES - Banco Nac de Desenvol Economico e Social,18262671,"Blackrock, Inc",13389499,Fundo Garantidor Para Investimentos Fgi,8750000,Fundo Garantia de Operacoes Fgo,468600,Victor Adler,50200,Uniao Federal (Tesouro Nacional),2252,-,0,Uniao Federal (Tesouro Nacional),552968382,Bndespar - BNDES Participacoes SA,180757951,BNDES - Banco Nac de Desenvol Economico e Social,76338832,JP Morgan Chase Bank,76248894,Fnd Fundo Nacional de Desenvolvimento,45621589,Caixa Economica Federal,8701564,Fundo Garantidor de Habitacao Fghab,1000000,-,0,-,0,-,0
Eletropar,ON,1104937000170,BR,ativo,1578,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,LIPR3,BRLIPRACNOR7,6,206840000,179918000,0,0,11674000,Real,11764000,1.6899506818,15.293947636,0,1.94832,3.9,4.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eletrobras - Centrais Eletricas Brasileiras S.A.,9848901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eletropaulo,ON,61695227000193,BR,ativo,1417,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELPL3,BRELPLACNOR9,6,10657072000,3641937000,4924004000,317253000,166859000,Real,66605000,7.1809267347,21.763176451,59.429630157,3.4950919123,11.0,9.0,Geracao Futuro Corretora de Valores S/A,10270061,Companhia Brasiliana de Energia,7434390,Bndespar - BNDES Participacoes SA,5287774,Uniao Federal (Tesouro Nacional),258,-,0,-,-,-,-,-,-,-,-,-,-,AES Elpa,51825798,Uniao Federal (Tesouro Nacional),13342384,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Eletropaulo,PN,61695227000193,BR,ativo,1417,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELPL4,BRELPLACNPR6,6,10657072000,3641937000,4924004000,317253000,166859000,Real,100739000,7.1809267347,21.763176451,59.429630157,3.8446011039,18.9,13.1,Geracao Futuro Corretora de Valores S/A,10270061,Companhia Brasiliana de Energia,7434390,Bndespar - BNDES Participacoes SA,5287774,Uniao Federal (Tesouro Nacional),258,-,0,-,-,-,-,-,-,-,-,-,-,AES Elpa,51825798,Uniao Federal (Tesouro Nacional),13342384,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Eletropaulo,PNA,61695227000193,BR,cancelado,1417,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELPL5,-,6,10657072000,3641937000,4924004000,317253000,166859000,Real,0,7.1809267347,21.763176451,59.429630157,0,-,-,Geracao Futuro Corretora de Valores S/A,10270061,Companhia Brasiliana de Energia,7434390,Bndespar - BNDES Participacoes SA,5287774,Uniao Federal (Tesouro Nacional),258,-,0,-,-,-,-,-,-,-,-,-,-,AES Elpa,51825798,Uniao Federal (Tesouro Nacional),13342384,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Eletropaulo (Old),PNB,-,BR,cancelado,01417-old,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELPL11-old,-,12,10050312000,5165370000,4818685000,241653000,82583000,Real,11120856598,0.0026705738515,0.13980454234,0.15582691546,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eleva,ON,92776665000100,BR,cancelado,1223,Abatedouros,Alimentos e Beb,Ação,Bovespa,ELEV3,-,12,1651678000,489356000,2290436000,484479000,5043000,Real,64830000,0.077788412488,7.5482955422,35.330037744,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Perdigao S.A.,64830000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elevad Atlas,ON,28986000108,BR,cancelado,1559,Indústria de máquinas indústriais,Máquinas Indust,Ação,Bovespa,ELAT3,-,6,1076796000,330152000,336919000,101950000,-131000,Real,20816000,-1.9233282091,15.860491929,32.5943505,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Administracao e Comercio Jaguar Ltd,20340000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eluma,ON,-,BR,cancelado,547,Indústria de ferramentas de metal não motorizadas e cutelaria,Siderur & Metalur,Ação,Bovespa,ELUM3,-,12,749271000,443231000,705674000,101529000,59690000,Real,6967000,3.2382140726,24.045516194,38.283187761,0,-,-,"Paranapanema S/A Min, Ind e Const",11253000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Paranapanema S/A Min, Ind e Const",6959000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eluma,PN,-,BR,cancelado,547,Indústria de ferramentas de metal não motorizadas e cutelaria,Siderur & Metalur,Ação,Bovespa,ELUM4,-,12,749271000,443231000,705674000,101529000,59690000,Real,11466000,3.2382140726,24.045516194,38.283187761,0,-,-,"Paranapanema S/A Min, Ind e Const",11253000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Paranapanema S/A Min, Ind e Const",6959000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emae,ON,2302101000142,BR,ativo,1699,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EMAE3,BREMAEACNOR4,6,1167956000,778864000,89849000,-42660000,6979000,Real,14705000,-1.5308414756,21.080574878,4.7224131865,0,-,-,Eletrobras - Centrais Eletricas Brasileiras S.A.,14416333,Altocapital Ajax Fundo de Investimento em Acoes,1986100,Governo do Estado de Sao Paulo,52068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Estado de Sao Paulo,14354538,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Emae,PN,2302101000142,BR,ativo,1699,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EMAE4,BREMAEACNPR1,6,1167956000,778864000,89849000,-42660000,6979000,Real,22242000,-1.5308414756,21.080574878,4.7224131865,0,0.0,0.0,Eletrobras - Centrais Eletricas Brasileiras S.A.,14416333,Altocapital Ajax Fundo de Investimento em Acoes,1986100,Governo do Estado de Sao Paulo,52068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Estado de Sao Paulo,14354538,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embraco,ON,-,BR,cancelado,555,Indústria de equipamentos de refrigeração,Máquinas Indust,Ação,Bovespa,EBCO3,-,12,1894905000,828097000,2014596000,269233000,57995000,Real,465924000,0.087246343236,1.245770068,3.0307118561,0,-,-,Whirlpool do Brasil Ltda,61474000,Multibras S/A Eletrodomesticos,44142000,Brasmotor S/A,5023000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Multibras S/A Eletrodomesticos,309346000,Whirlpool do Brasil Ltda,140545000,Brasmotor S/A,2032000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embraco,PN,-,BR,cancelado,555,Indústria de equipamentos de refrigeração,Máquinas Indust,Ação,Bovespa,EBCO4,-,12,1894905000,828097000,2014596000,269233000,57995000,Real,198803000,0.087246343236,1.245770068,3.0307118561,0,-,-,Whirlpool do Brasil Ltda,61474000,Multibras S/A Eletrodomesticos,44142000,Brasmotor S/A,5023000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Multibras S/A Eletrodomesticos,309346000,Whirlpool do Brasil Ltda,140545000,Brasmotor S/A,2032000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embraer,ON,7689002000189,BR,ativo,2008,Indústria de equipamentos aeroespacias,Veiculos e peças,"ADR,etc (emp estrang)",NYSE,ERJ,US29082A1079,6,19339989000,6277841000,5433956000,1273140000,226032000,Real,725437000,-,-,-,0.0975,0.7,1.6,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,77218901,Oppenheimer Funds Inc.,62465424,Thornburg Investment Management'S,51844148,Bndespar - BNDES Participacoes SA,39762489,"Blackrock, Inc",37994445,Cia Bozano Simonsen Com & Ind,31889089,Acoes em Tesouraria,15414901,-,-,-,-,-,-
Embraer,ON,7689002000189,BR,ativo,2008,Indústria de equipamentos aeroespacias,Veiculos e peças,Ação,Bovespa,EMBR3,BREMBRACNOR4,6,19339989000,6277841000,5433956000,1273140000,226032000,Real,725437000,0.074948507718,8.6538748368,15.705167224,0.18,0.7,1.9,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,77218901,Oppenheimer Funds Inc.,62465424,Thornburg Investment Management'S,51844148,Bndespar - BNDES Participacoes SA,39762489,"Blackrock, Inc",37994445,Cia Bozano Simonsen Com & Ind,31889089,Acoes em Tesouraria,15414901,-,-,-,-,-,-
Embraer,PN,7689002000189,BR,cancelado,2008,Indústria de equipamentos aeroespacias,Veiculos e peças,"ADR,etc (emp estrang)",NYSE,ERJ-old,-,6,19339989000,6277841000,5433956000,1273140000,226032000,Real,0,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,77218901,Oppenheimer Funds Inc.,62465424,Thornburg Investment Management'S,51844148,Bndespar - BNDES Participacoes SA,39762489,"Blackrock, Inc",37994445,Cia Bozano Simonsen Com & Ind,31889089,Acoes em Tesouraria,15414901,-,-,-,-,-,-
Embraer,PN,7689002000189,BR,cancelado,2008,Indústria de equipamentos aeroespacias,Veiculos e peças,Ação,Bovespa,EMBR4,-,6,19339989000,6277841000,5433956000,1273140000,226032000,Real,0,0.074948507718,8.6538748368,15.705167224,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,77218901,Oppenheimer Funds Inc.,62465424,Thornburg Investment Management'S,51844148,Bndespar - BNDES Participacoes SA,39762489,"Blackrock, Inc",37994445,Cia Bozano Simonsen Com & Ind,31889089,Acoes em Tesouraria,15414901,-,-,-,-,-,-
Embratel Part,ON,2558124000112,BR,ativo,1764,Telecomunicações,Telecomunicações,Ação,Bovespa,EBTP3,BREBTPACNOR3,6,26732981000,10959658000,8964799000,3251638000,501714000,Real,564044547000,0.00048295210896,0.010070951432,0.013972772952,0,0.0,0.0,Telmex Solutions Telecom. Ltda,510584659952,Controladora de Serv. Telec. S.A. de C.V,3282819136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Telmex Solutions Telecom. Ltda,308909393495,Controladora de Serv. Telec. S.A. de C.V,245035493313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embratel Part,PN,2558124000112,BR,cancelado,1764,Telecomunicações,Telecomunicações,"ADR,etc (emp estrang)",NYSE,EMT-old,-,6,26732981000,10959658000,8964799000,3251638000,501714000,Real,524200002000,-,-,-,0,-,-,Telmex Solutions Telecom. Ltda,510584659952,Controladora de Serv. Telec. S.A. de C.V,3282819136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Telmex Solutions Telecom. Ltda,308909393495,Controladora de Serv. Telec. S.A. de C.V,245035493313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Embratel Part,PN,2558124000112,BR,ativo,1764,Telecomunicações,Telecomunicações,Ação,Bovespa,EBTP4,BREBTPACNPR0,6,26732981000,10959658000,8964799000,3251638000,501714000,Real,524200002000,0.00048295210896,0.010070951432,0.013972772952,0.0003318039581,3.4,3.7,Telmex Solutions Telecom. Ltda,510584659952,Controladora de Serv. Telec. S.A. de C.V,3282819136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Telmex Solutions Telecom. Ltda,308909393495,Controladora de Serv. Telec. S.A. de C.V,245035493313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Encorpar,ON,1971614000183,BR,ativo,1649,Indústria de fios,Textil,Ação,Bovespa,ECPR3,BRECPRACNOR5,6,195468000,166534000,2932000,-555000,-9968000,Real,1026000,-4.507368421,87.649473684,2.822631579,10,-,28.6,Jose Alencar G Silva-Com Part Emp,388798,Wembley Sociedade Anonima,275796,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wembley Sociedade Anonima,612613,Econorte Emp Cons Nor de Minas Ltda,183924,Jose Alencar G Silva-Com Part Emp,6559,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Encorpar,PN,1971614000183,BR,ativo,1649,Indústria de fios,Textil,Ação,Bovespa,ECPR4,BRECPRACNPR2,6,195468000,166534000,2932000,-555000,-9968000,Real,874000,-4.507368421,87.649473684,2.822631579,11,-,31.4,Jose Alencar G Silva-Com Part Emp,388798,Wembley Sociedade Anonima,275796,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wembley Sociedade Anonima,612613,Econorte Emp Cons Nor de Minas Ltda,183924,Jose Alencar G Silva-Com Part Emp,6559,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Energias BR,ON,3983431000103,BR,ativo,1976,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ENBR3,BRENBRACNOR2,6,13383533000,4596035000,2963467000,796308000,181474000,Real,475574000,0.74782737117,9.6641847536,11.857482063,0.7785297,3.8,6.2,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,Energias de Portugal Investments And Services Sociedad Ltda,168185223,Balwerk-Cons. Econ. e Part. Soc. Ltda.,74786742,Acoes em Tesouraria,840675,Administradores,48,-,-,-,-,-,-,-,-,-,-,-,-
Energisa,ON,864214000106,BR,ativo,1525,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,ENGI3,BRENGIACNOR0,6,4498363000,1386701000,1341198000,441136000,125544000,Real,518236051,0.22280253652,1.2864124405,2.416183727,96,4.6,3.9,Fundo de Investimento em Participacoes da Serra,466752740,Acoes em Tesouraria,17529630,Acoes em Tesouraria,5880206,Itacatu S/A,533200,-,-,-,-,-,-,-,-,-,-,-,-,Gipar S/A,344947964,Fundo de Investimento em Participacoes da Serra,116688185,Itacatu S/A,30579625,Acoes em Tesouraria,4368045,-,-,-,-,-,-,-,-,-,-,-,-
Energisa,PN,864214000106,BR,ativo,1525,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,ENGI4,BRENGIACNPR7,6,4498363000,1386701000,1341198000,441136000,125544000,Real,559723829,0.22280253652,1.2864124405,2.416183727,96,4.6,4.2,Fundo de Investimento em Participacoes da Serra,466752740,Acoes em Tesouraria,17529630,Acoes em Tesouraria,5880206,Itacatu S/A,533200,-,-,-,-,-,-,-,-,-,-,-,-,Gipar S/A,344947964,Fundo de Investimento em Participacoes da Serra,116688185,Itacatu S/A,30579625,Acoes em Tesouraria,4368045,-,-,-,-,-,-,-,-,-,-,-,-
Energisa,UNT N2,864214000106,BR,ativo,1525,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,ENGI11,BRENGICDAM16,6,4498363000,1386701000,1341198000,441136000,125544000,Real,0,0.22280253652,1.2864124405,2.416183727,96,4.6,4.3,Fundo de Investimento em Participacoes da Serra,466752740,Acoes em Tesouraria,17529630,Acoes em Tesouraria,5880206,Itacatu S/A,533200,-,-,-,-,-,-,-,-,-,-,-,-,Gipar S/A,344947964,Fundo de Investimento em Participacoes da Serra,116688185,Itacatu S/A,30579625,Acoes em Tesouraria,4368045,-,-,-,-,-,-,-,-,-,-,-,-
Enersul,ON,15413826000150,BR,cancelado,557,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ENER3,-,6,1982137000,751526000,752384000,186386000,47630000,Real,58441069000,0.0024773331918,0.012859552586,0.025343188024,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rede Energia S.A.,35155269868,Rede Power do Brasil S.A.,23243342380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enersul,PNA,15413826000150,BR,cancelado,557,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ENER5,-,6,1982137000,751526000,752384000,186386000,47630000,Real,0,0.0024773331918,0.012859552586,0.025343188024,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rede Energia S.A.,35155269868,Rede Power do Brasil S.A.,23243342380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enersul,PNB,15413826000150,BR,cancelado,557,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ENER6,-,6,1982137000,751526000,752384000,186386000,47630000,Real,0,0.0024773331918,0.012859552586,0.025343188024,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rede Energia S.A.,35155269868,Rede Power do Brasil S.A.,23243342380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Engesa,PNA,-,BR,cancelado,564,Outras indústrias de produtos de metal,Siderur & Metalur,Ação,Bovespa,ENG5,-,12,7870,-1468,308,-115,1915,Real,1277802000,7.1431244844E-7,-5.4774131833E-7,1.1474588665E-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enxuta,PN,88611975000105,BR,cancelado,1221,Indústria de eletrodomésticos,Eletroeletrônicos,Ação,Bovespa,TRIC4,-,12,101219000,-12957000,73743000,16232000,-13635000,Real,661350000,-0.013044462673,-0.01239582845,0.070549161051,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Epte,PN,-,BR,cancelado,1700,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EPTE4,-,9,2318879000,1939689000,213820000,31974000,25958000,Real,22241713000,0.00064413747207,0.052499112108,0.007666992484,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cia de Transm. de Energ. Eletr. Pta,7205631000,Uniao Federal (Tesouro Nacional),5112975000,Governo do Estado de Sao Paulo,2010235000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
