Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|do ult balanco|no exercício|consolid:sim*,Ativo Tot|do ult balanco|em moeda orig|consolid:sim*,Patrim Liq|do ult balanco|em moeda orig|consolid:sim*,Receita|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Liq|do ult balanco|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|05Set12,LPA|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|do ult balanco|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|05Set12|1 anos|em moeda orig,Div Yld (fim)|05Set12|no Ano|em moeda orig,Div Yld (inic)|05Set12|1 anos|em moeda orig,PrinAcion|+Recente|1.Maior|Sem Voto,AcPossuid|+Recente|1.Maior|Sem Voto,PrinAcion|+Recente|2.Maior|Sem Voto,AcPossuid|+Recente|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|+Recente|3.Maior|Sem Voto,PrinAcion|+Recente|4.Maior|Sem Voto,AcPossuid|+Recente|4.Maior|Sem Voto,PrinAcion|+Recente|5.Maior|Sem Voto,AcPossuid|+Recente|5.Maior|Sem Voto,PrinAcion|+Recente|6.Maior|Sem Voto,AcPossuid|+Recente|6.Maior|Sem Voto,PrinAcion|+Recente|7.Maior|Sem Voto,AcPossuid|+Recente|7.Maior|Sem Voto,PrinAcion|+Recente|8.Maior|Sem Voto,AcPossuid|+Recente|8.Maior|Sem Voto,PrinAcion|+Recente|9.Maior|Sem Voto,AcPossuid|+Recente|9.Maior|Sem Voto,PrinAcion|+Recente|10.Maior|Sem Voto,AcPossuid|+Recente|10.Maior|Sem Voto,PrinAcion|+Recente|1.Maior|Com Voto,AcPossuid|+Recente|1.Maior|Com Voto,PrinAcion|+Recente|2.Maior|Com Voto,AcPossuid|+Recente|2.Maior|Com Voto,PrinAcion|+Recente|3.Maior|Com Voto,AcPossuid|+Recente|3.Maior|Com Voto,PrinAcion|+Recente|4.Maior|Com Voto,AcPossuid|+Recente|4.Maior|Com Voto,PrinAcion|+Recente|5.Maior|Com Voto,AcPossuid|+Recente|5.Maior|Com Voto,PrinAcion|+Recente|6.Maior|Com Voto,AcPossuid|+Recente|6.Maior|Com Voto,PrinAcion|+Recente|7.Maior|Com Voto,AcPossuid|+Recente|7.Maior|Com Voto,PrinAcion|+Recente|8.Maior|Com Voto,AcPossuid|+Recente|8.Maior|Com Voto,PrinAcion|+Recente|9.Maior|Com Voto,AcPossuid|+Recente|9.Maior|Com Voto,PrinAcion|+Recente|10.Maior|Com Voto,AcPossuid|+Recente|10.Maior|Com Voto
Aco Altona,ON,82643537000134,BR,ativo,538,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,EALT3,BREALTACNOR4,6,249553000,62134000,95014000,27857000,6694000,Real,975000,4.6528888889,27.615111111,79.069777778,0,-,-,Espolio Bernardo Wolfgang Werner,443564,Arbela FIA,186400,Orbe Value Master FIA,128600,Fundo de Investimentos de Acoes Vitoria,125200,Infinity Selection FIA,32900,J Malucelli Small Caps FIA,25000,Clube Inv Valore,23300,Werner S/A Agricultura e Comercio,9699,Carmen Vetter Werner,2,-,-,Werner S/A Agricultura e Comercio,821442,Espolio Bernardo Wolfgang Werner,86407,Carmen Vetter Werner,23491,-,0,-,0,-,0,-,0,-,0,-,0,-,-
Aco Altona,PN,82643537000134,BR,ativo,538,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,EALT4,BREALTACNPR1,6,249553000,62134000,95014000,27857000,6694000,Real,1275000,4.6528888889,27.615111111,79.069777778,0,0.0,0.0,Espolio Bernardo Wolfgang Werner,443564,Arbela FIA,186400,Orbe Value Master FIA,128600,Fundo de Investimentos de Acoes Vitoria,125200,Infinity Selection FIA,32900,J Malucelli Small Caps FIA,25000,Clube Inv Valore,23300,Werner S/A Agricultura e Comercio,9699,Carmen Vetter Werner,2,-,-,Werner S/A Agricultura e Comercio,821442,Espolio Bernardo Wolfgang Werner,86407,Carmen Vetter Werner,23491,-,0,-,0,-,0,-,0,-,0,-,0,-,-
Acos Vill,ON,-,BR,cancelado,10,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,AVIL3,-,9,2064702000,1106595000,1534987000,444836000,279590000,Real,4939582000,0.071763357923,0.22402604107,0.39814987389,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gerdau S.A.,2889471393,Metalurgica Gerdau S/A,1427990051,Acoes em Tesouraria,4725198,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acos Vill,PN,-,BR,cancelado,10,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,AVIL4,-,9,2064702000,1106595000,1534987000,444836000,279590000,Real,0,0.071763357923,0.22402604107,0.39814987389,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gerdau S.A.,2889471393,Metalurgica Gerdau S/A,1427990051,Acoes em Tesouraria,4725198,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Elpa,ON,1917705000130,BR,ativo,1931,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AELP3,BRAELPACNOR2,6,11407239000,1855652000,4924004000,315950000,17657000,Real,95061000,3.2391832613,19.520644639,104.61905513,2.926350895,9.0,6.2,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Companhia Brasiliana de Energia,93404099,Bndespar - BNDES Participacoes SA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Sul,ON,2016440000162,BR,cancelado,1652,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AESL3,-,6,2750367000,905346000,1115947000,144712000,73991000,Real,213433,780.81965506,3250.9919816,7686.562555,0,-,-,AES Guaiba II Empreendimentos Ltda,65050,Acoes em Tesouraria,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AES Guaiba II Empreendimentos Ltda,213414,Acoes em Tesouraria,810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Sul,PN,2016440000162,BR,cancelado,1652,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AESL4,-,6,2750367000,905346000,1115947000,144712000,73991000,Real,65050,780.81965506,3250.9919816,7686.562555,0,-,-,AES Guaiba II Empreendimentos Ltda,65050,Acoes em Tesouraria,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AES Guaiba II Empreendimentos Ltda,213414,Acoes em Tesouraria,810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Tiete,ON,2998609000127,BR,ativo,1835,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,GETI3,BRGETIACNOR7,6,3911519000,1912785000,1075363000,748305000,475739000,Real,197461000,2.5356652931,5.0171015048,5.6020857541,2.6153979581,8.1,12.2,Companhia Brasiliana de Energia,59447093,Eletrobras - Centrais Eletricas Brasileiras S.A.,30107688,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Companhia Brasiliana de Energia,140882909,Eletrobras - Centrais Eletricas Brasileiras S.A.,150534,Bndespar - BNDES Participacoes SA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Tiete,PN,2998609000127,BR,ativo,1835,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,GETI4,BRGETIACNPR4,6,3911519000,1912785000,1075363000,748305000,475739000,Real,183792000,2.5356652931,5.0171015048,5.6020857541,2.8769377543,7.3,12.6,Companhia Brasiliana de Energia,59447093,Eletrobras - Centrais Eletricas Brasileiras S.A.,30107688,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Companhia Brasiliana de Energia,140882909,Eletrobras - Centrais Eletricas Brasileiras S.A.,150534,Bndespar - BNDES Participacoes SA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aetatis Sec,ON,2808481000191,BR,cancelado,1810,Outros fundos,Fundos,Ação,Bovespa,AETA3,-,6,11714000,8430000,225000,225000,247000,Real,28170908,-0.60553615141,0.29924488057,0.059921531476,0,-,-,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,Prosperitas I Fdo de Inv. em Partic,28170905,Luciano Lewandowski,1,Jorge Carlos Nunez,1,Celina Maria Vaz Guimaraes,1,-,-,-,-,-,-,-,-,-,-,-,-
